iata,airport
ATL,"William B Hartsfield-Atlanta Intl"
BOS,"Gen Edw L Logan Intl"
BWI,"Baltimore-Washington International"
CLT,"Charlotte/Douglas International"
DCA,"Ronald Reagan Washington National"
DEN,"Denver Intl"
DFW,"Dallas-Fort Worth International"
DTW,"Detroit Metropolitan-Wayne County"
EWR,"Newark Intl"
FLL,"Fort Lauderdale-Hollywood Int'l"
HNL,"Honolulu International"
IAD,"Washington Dulles International"
IAH,"George Bush Intercontinental"
JFK,"John F Kennedy Intl"
LAS,"McCarran International"
LAX,"Los Angeles International"
LGA,LaGuardia
MCO,"Orlando International"
MDW,"Chicago Midway"
MIA,"Miami International"
MSP,"Minneapolis-St Paul Intl"
ORD,"Chicago O'Hare International"
PDX,"Portland Intl"
PHL,"Philadelphia Intl"
PHX,"Phoenix Sky Harbor International"
SAN,"San Diego International-Lindbergh "
SEA,"Seattle-Tacoma Intl"
SFO,"San Francisco International"
SLC,"Salt Lake City Intl"
TPA,"Tampa International"